artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
Cravity Love or Die,19947,174,95,48.0,4.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0
홍진영 봄,19400,172,59,36.0,54.0,0.87,0.5,1,0,0,0,0,0,1,0,0,0
RIIZE Siren,113134,105,83,80.0,0.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
RIIZE Lucky,113134,113,86,78.0,4.0,-0.5,0.87,1,1,0,0,0,0,0,0,0,0
RIIZE Combo,113134,140,84,57.0,0.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
박찬영 떠나보자,1885,110,55,43.0,24.0,0.5,0.87,1,0,0,0,0,0,0,1,0,0
혁오 Glue,111460,174,64,64.0,59.0,-0.87,0.5,0,0,0,0,1,0,0,0,0,0
옥상달빛 다이빙,31548,132,63,60.0,3.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,0
비비지 Shhh!,19445,105,81,79.0,10.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
오마이걸 Classified,119562,140,75,62.0,25.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
전상근 너를 사랑했던 시절,16150,136,58,37.0,72.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
전상근 잠꼬대,16150,123,33,45.0,86.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
마크툽 날 그만 잊어요,39989,130,45,42.0,86.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
진 Running Wild,128511,147,71,49.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
BABYMONSTER CLIK CLIK,21018,135,59,94.0,1.0,-0.87,0.5,1,0,0,1,0,0,0,0,0,0
BABYMONSTER FOREVER,21018,130,70,84.0,10.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
윤마치 노스탤지어,6637,106,73,67.0,55.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,0
다린 dog-ear serenade,16163,144,44,64.0,83.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
적재 나의 시,47287,120,42,55.0,46.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
엔플라잉 네가 내 마음에 자리 잡았다,50972,106,84,73.0,13.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
wave to earth play with earth!,36891,115,61,63.0,4.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0
더 폴스 Space kids,6056,104,53,56.0,4.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
더 폴스 cares,6056,136,43,36.0,25.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
휘인 휘이,40861,170,94,42.0,1.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
카라 I Do I DO,15773,55,1,38.0,96.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
웬디 Wish You Hell,36341,100,73,75.0,5.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
리도어 아직도 사랑하면 안 되는 건가요,9005,130,80,48.0,2.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0
최예나 DNA,34857,174,92,43.0,0.0,-0.87,-0.5,1,1,0,0,0,0,0,0,0,0
한로로 ㅈㅣㅂ,9839,180,95,38.0,8.0,-0.5,-0.87,0,0,0,0,0,0,0,1,0,0
한로로 나침반,9839,135,67,74.0,26.0,-0.5,-0.87,0,0,0,0,0,0,0,1,0,0
하현상 향기,45790,138,45,53.0,53.0,-1.0,-0.0,1,0,0,0,1,0,0,0,0,0
에이든 겨울잠,1081,80,70,41.0,3.0,-1.0,-0.0,1,0,0,0,0,0,0,1,0,0
송소희 사슴신,7578,143,71,52.0,0.0,0.0,-1.0,0,0,0,0,1,0,0,0,0,0
엔하이픈 'No Doubt,42378,130,46,84.0,11.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0
엔하이픈 What Makes You Beautiful,42378,125,62,67.0,0.0,-0.5,0.87,1,0,1,0,0,0,0,0,0,0
아이유 Shopper,725898,107,77,72.0,12.0,0.0,-1.0,1,0,0,0,1,0,0,0,0,0
아이유 관객이 될게,725898,160,84,54.0,27.0,-0.87,-0.5,1,0,0,0,1,0,0,0,0,0
조정석 샴페인,18507,72,72,47.0,8.0,0.0,-1.0,1,0,0,0,1,0,0,0,0,0
피프티 피프티 When You Say My Name,16010,92,38,48.0,93.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,0
허회경 한참을 울겠지만,18192,82,25,70.0,91.0,-1.0,-0.0,1,0,0,0,0,0,0,1,0,0
나연 ABCD,27122,106,93,68.0,4.0,0.5,0.87,0,0,0,0,0,0,0,0,0,0
박재범 Gimme A Minute,113949,110,68,69.0,1.0,-0.87,0.5,0,0,0,0,0,0,0,0,0,0
이찬혁 1조,12568,120,52,71.0,3.0,0.5,-0.87,1,0,0,0,1,0,0,0,0,0
밀리그램 How are you,2331,120,19,91.0,26.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
온앤오프 Bye My Monster,21386,109,81,66.0,6.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
"키썸 서, 어른",23573,86,66,72.0,14.0,-0.5,-0.87,1,0,0,1,0,0,0,0,0,0
서은광 어린왕자,40185,120,48,53.0,64.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,0
김재환 나만큼,47947,100,81,78.0,35.0,-0.5,-0.87,0,0,1,0,0,0,0,0,0,0
홍다빈 Shower Song,4276,96,72,71.0,4.0,0.5,0.87,1,0,0,1,0,0,0,0,0,0
이준호 다시 만나는 날,14901,68,21,63.0,88.0,-0.87,-0.5,1,0,0,0,0,0,0,0,0,0
정준일 Love Again,51766,129,37,47.0,82.0,0.5,-0.87,1,0,0,0,0,1,0,0,0,0
유라 Worm In The Apple,23865,82,67,37.0,35.0,0.87,0.5,1,0,0,0,0,0,0,0,0,0
유라 101(Home Home),23865,150,87,40.0,23.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
프로미스나인 from,45668,140,80,67.0,5.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,0
원슈타인 꿈,34639,78,62,55.0,61.0,-0.5,-0.87,1,0,0,0,0,0,0,0,0,0
원슈타인 파자마,34639,160,39,57.0,30.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0
기원 끊었어?,7971,90,50,81.0,42.0,-0.87,0.5,1,0,0,0,0,0,0,0,0,0
기원 Comedy,665,70,54,65.0,52.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
이범준 너의 흔적이 가득한 여름,2058,91,65,63.0,4.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0
김현창 나 잠깐 잠들어 있을게요,10565,118,23,50.0,83.0,-0.87,-0.5,1,0,0,0,0,0,0,1,0,0
온유 매력,25599,108,86,85.0,25.0,-0.5,-0.87,0,0,0,1,0,0,0,0,0,0
황영웅 당신 편,13577,72,57,48.0,18.0,-0.5,-0.87,1,0,0,0,0,0,1,0,0,0
황영웅 해바라기,13577,180,75,24.0,1.0,-0.87,-0.5,1,0,0,0,0,0,1,0,0,0
장덕철 사계절,13360,132,43,48.0,67.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
장덕철 처음,13360,141,55,42.0,40.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
바비 무중력,46411,172,88,53.0,2.0,-1.0,-0.0,1,0,0,1,0,0,0,0,0,0
쏠 TONIGHT,28483,72,47,36.0,4.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0
뱀뱀 LAST PARADE,8772,128,69,82.0,0.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
소란 목소리,27734,176,93,40.0,2.0,-1.0,-0.0,1,0,0,0,0,0,0,1,0,0
박혜원 이미 지나간 너에게 하는 말,38817,133,47,56.0,75.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
박혜원 나였으면,38817,142,32,42.0,67.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
다혜 이대로,744,132,35,54.0,88.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
문별 TOUCHIN&MOVIN,33149,113,83,76.0,2.0,-0.87,-0.5,0,0,1,0,0,0,0,0,0,0
문별 내 친구의 친구 얘기인데,33149,122,90,77.0,2.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
칸토 주황색 쏘나타,4520,110,75,90.0,4.0,0.87,0.5,0,0,0,1,0,0,0,0,0,0
김성규 미안해 널 미워해,40068,98,71,46.0,1.0,0.87,-0.5,0,0,0,0,1,0,0,0,0,0
에이비식스 GRAB ME,28102,162,81,53.0,11.0,0.5,0.87,1,0,1,0,0,0,0,0,0,0
에이비식스 NVKED,28102,118,81,75.0,10.0,-0.5,-0.87,0,0,1,0,0,0,0,0,0,0
WayV FREQUENCY,24519,100,79,67.0,0.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
WayV Go Higher,24519,95,81,76.0,1.0,-1.0,-0.0,0,1,0,0,0,0,0,0,0,0
박서진 꿀팁,8809,150,93,57.0,9.0,0.87,0.5,1,0,0,0,0,0,1,0,0,0
박서진 공주에서,8809,134,94,51.0,16.0,-0.5,0.87,0,0,0,0,0,0,1,0,0,0
브로콜리너마저 풍등,29497,140,37,63.0,52.0,-0.87,-0.5,1,0,0,0,0,0,0,1,0,0
브로콜리너마저 매일 새롭게,29497,78,43,58.0,10.0,-0.87,-0.5,1,0,0,0,0,0,0,1,0,0
심규선 심야의 아이,51696,90,56,24.0,26.0,0.87,0.5,1,0,0,0,0,0,0,0,1,0
하현상 서로가 없는 곳,45790,77,57,45.0,20.0,0.87,-0.5,1,0,0,0,1,0,0,0,0,0
jisokuryClub She;s not straight,5192,78,45,57.0,63.0,0.87,0.5,1,0,0,0,0,0,0,1,0,0
박서진 왜 돌아보오,8809,122,47,86.0,3.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0
하이라이트 BODY,69654,127,82,70.0,1.0,-0.5,-0.87,0,0,1,0,0,0,0,0,0,0
DK(디셈버) 영원,8447,166,49,28.0,41.0,-0.87,0.5,0,0,0,0,0,1,0,0,0,0
V FRI(END)S,161438,53,60,47.0,3.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0
더보이즈 Nectar,79426,121,80,66.0,11.0,1.0,0.0,1,0,1,0,0,0,0,0,0,0
YOUNG POSSE (영파씨) XXL,2798,93,82,77.0,1.0,-1.0,-0.0,1,0,0,1,0,0,0,0,0,0
"정우 (JUNGWOO) 이젠 웃으며, 안녕",16568,125,40,43.0,81.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
김하온 (HAON) 꼴통 (feat. 창모 (CHANGMO)),53863,140,86,64.0,16.0,-0.5,0.87,0,0,0,1,0,0,0,0,0,0
폴킴 좋아해요,156337,120,42,54.0,86.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
김나영 일기,60347,98,26,36.0,92.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
김호중 그대... 떠나도,46623,122,34,34.0,85.0,-0.5,-0.87,0,0,0,0,0,1,0,0,0,0
10CM 티라미수 케익,184617,122,48,53.0,45.0,-0.87,-0.5,1,0,0,0,0,0,0,1,0,0
"Pagaehun (박태훈), 깐병 (KKANBYEONGZ) Play With Me",1478,132,84,71.0,10.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,0
우기 (YUQI) FREAK,12963,120,82,81.0,8.0,0.0,-1.0,1,0,1,0,0,0,0,0,0,0
차노을 Happy (Prod. Hedyy),3589,84,74,89.0,50.0,-0.5,-0.87,1,0,0,1,0,0,0,0,0,0
임영웅 온기,147431,171,23,35.0,79.0,0.0,-1.0,1,0,1,0,0,0,0,0,0,0
유회승 (엔플라잉) 그랬나봐,5240,134,40,49.0,62.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,0
양홍원 JEALOUSYVALHALLA,49652,98,70,88.0,47.0,-0.87,-0.5,0,0,0,1,0,0,0,0,0,0
박재범 Taxi Blurr (Feat. 나띠 of KISS OF LIFE),113949,144,60,64.0,7.0,0.5,0.87,0,0,0,0,0,0,0,0,0,0
ATEEZ(에이티즈) WORK,26255,100,89,58.0,4.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
AKMU (악뮤) Hero,236011,136,43,66.0,62.0,0.87,0.5,1,0,0,0,0,0,0,0,1,0
데이먼스 이어 (Damons year) 죽지 않은 연인에게,47680,166,46,41.0,46.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,0
볼빨간사춘기 Lips (Feat. 지젤 of aespa),256554,63,67,26.0,0.0,-0.87,-0.5,0,0,0,0,0,0,0,1,0,0
H1-KEY (하이키) 뜨거워지자 (Let It Burn),6389,179,48,52.0,23.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0
연변대학최씨 바람이 불지 않은 것처럼,608,170,66,55.0,81.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0
츄 (CHUU) Strawberry Rush,11807,158,84,59.0,15.0,-1.0,-0.0,1,0,1,0,0,0,0,0,0,0
황인욱 플러팅,11538,134,67,40.0,32.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
IVE (아이브) LOVE DIVE,122601,118,71,70.0,0.0,-0.5,0.87,0,0,1,0,0,0,0,0,0,1
i-dle (아이들) TOMBOY,143106,124,87,76.0,1.0,-0.5,0.87,0,0,0,0,1,0,0,0,0,1
김민석 취중고백,21014,122,45,56.0,58.0,0.0,1.0,1,0,0,0,0,1,0,0,0,1
멜로망스 사랑인가 봐,88639,172,73,40.0,51.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1
임영웅 사랑은 늘 도망가,147432,131,44,40.0,65.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1
IVE (아이브) ELEVEN,122601,120,73,83.0,6.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
BIGBANG (빅뱅) 봄여름가을겨울 (Still Life),247551,118,58,68.0,44.0,1.0,0.0,1,0,0,0,1,0,0,0,0,1
경서예지 다정히 내 이름을 부르면,8332,144,67,38.0,35.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,1
싸이 (PSY) That That (prod. & feat. SUGA of BTS),49377,130,96,90.0,3.0,-0.5,0.87,1,0,1,0,0,0,0,0,0,1
BIG Naughty (서동현) 정이라고 하자 (Feat. 10CM),95361,175,57,51.0,22.0,-0.87,-0.5,1,0,0,0,0,0,0,0,0,1
이무진 신호등,70854,97,72,61.0,10.0,-0.87,0.5,0,0,0,0,1,0,0,0,0,1
태연 (TAEYEON) INVU,241680,107,82,60.0,9.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,1
"sokodomo 회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",15697,108,55,86.0,29.0,-0.5,0.87,0,0,0,1,0,0,0,0,0,1
Red Velvet (레드벨벳) Feel My Rhythm,212597,158,94,41.0,6.0,0.87,0.5,1,0,1,0,0,0,0,0,0,1
NewJeans Hype Boy,185289,100,94,59.0,27.0,-0.87,-0.5,0,0,1,0,0,0,0,0,0,1
박재범 GANADARA (Feat. 아이유),113964,90,62,49.0,20.0,-1.0,-0.0,1,0,0,0,0,0,0,0,0,1
NewJeans Attention,185289,105,65,81.0,24.0,0.87,0.5,0,0,1,0,0,0,0,0,0,1
IVE (아이브) After LIKE,122601,125,92,68.0,10.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,1
경서 나의 X에게,21469,94,55,70.0,53.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,1
WSG워너비 (가야G) 그때 그 순간 그대로 (그그그),5530,118,79,57.0,21.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,1
BE'O (비오) LOVE me,60220,148,81,63.0,7.0,-0.5,0.87,1,0,0,1,0,0,0,0,0,1
aespa Next Level,164256,109,85,82.0,49.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,1
BE'O (비오) 리무진 (Feat. MINO) (Prod. GRAY),60220,132,70,72.0,22.0,-0.87,-0.5,1,0,0,1,0,0,0,0,0,1
아이유 드라마,725838,106,27,85.0,80.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,1
아이유 strawberry moon,725838,170,71,48.0,14.0,0.5,0.87,1,0,0,0,1,0,0,0,0,1
성시경 너의 모든 순간,114184,140,39,37.0,82.0,0.5,-0.87,1,0,0,0,0,1,0,0,0,1
주호 내가 아니라도,7251,133,50,43.0,4.0,0.0,1.0,1,0,0,0,0,1,0,0,0,1
MSG워너비(M.O.M) 듣고 싶을까,7373,118,90,60.0,55.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,1
주시크 (Joosiq) 너를 생각해,7870,92,57,75.0,67.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,1
방탄소년단 Dynamite,622383,114,77,75.0,1.0,-0.87,0.5,0,0,1,0,0,0,0,0,0,1
WSG워너비(4FIRE) 보고싶었어,2198,170,72,55.0,43.0,-0.87,-0.5,1,0,0,0,0,0,0,0,0,1
YENA (최예나) SMILEY (Feat. BIBI),34849,156,91,65.0,10.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
태연 (TAEYEON) Weekend,241680,114,85,74.0,8.0,1.0,0.0,1,0,1,0,0,0,0,0,0,1
LE SSERAFIM (르세라핌) FEARLESS,71313,104,62,86.0,6.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,1
방탄소년단 Butter,622383,110,46,76.0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,0,1
케이시 (Kassy) 언제나 사랑해,55481,71,72,42.0,40.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,1
경서 밤하늘의 별을(2020),21469,154,64,58.0,49.0,0.87,-0.5,1,0,0,0,0,1,0,0,0,1
지코 (ZICO) 새삥 (Prod. ZICO) (Feat. 호미들),164968,175,87,78.0,5.0,0.87,0.5,1,0,0,1,0,0,0,0,0,1
BE'O (비오) Counting Stars (Feat. Beenzino),60220,119,50,77.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,1
"폴킴 모든 날, 모든 순간 (Every day, Every Moment)",156360,98,83,81.0,4.0,-0.87,0.5,0,0,0,0,0,1,0,0,0,1
이무진 눈이 오잖아(Feat.헤이즈),70854,96,54,57.0,31.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1
임영웅 이제 나만 믿어요,147432,189,49,27.0,64.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1
디핵 (D-Hack) OHAYO MY NIGHT,24563,190,76,46.0,66.0,0.5,-0.87,0,0,0,1,0,0,0,0,0,1
아이유 내 손을 잡아,725838,96,66,64.0,28.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,1
방탄소년단 Permission to Dance,622383,125,74,70.0,1.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
임영웅 우리들의 블루스,147432,131,41,38.0,63.0,0.87,0.5,1,0,0,0,0,1,0,0,0,1
MSG워너비(M.O.M) 바라만 본다,7373,118,74,73.0,4.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,1
윤하 (YOUNHA) 사건의 지평선,121905,98,86,53.0,8.0,-1.0,-0.0,0,0,0,0,1,0,0,0,0,1
GOT the beat Step Back,12304,162,81,64.0,2.0,0.87,0.5,1,0,1,0,0,0,0,0,0,1
아이유 Celebrity,725838,100,78,73.0,19.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
i-dle (아이들) MY BAG,143106,188,82,74.0,9.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1
aespa Savage,164256,147,88,73.0,12.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
나연 (TWICE) POP!,27134,137,71,67.0,1.0,0.87,0.5,1,0,1,0,0,0,0,0,0,1
10CM 그라데이션,184561,104,65,63.0,18.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1
탑현 호랑수월가,7978,105,35,65.0,82.0,0.5,-0.87,0,0,0,0,0,1,0,0,0,1
아이유 라일락,725838,115,89,74.0,9.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,1
방탄소년단 봄날,622383,107,85,54.0,1.0,1.0,0.0,1,0,0,1,0,0,0,0,0,1
BE'O (비오) 문득,60220,105,52,86.0,56.0,-0.87,0.5,1,0,0,1,0,0,0,0,0,1
aespa Dreams Come True,164256,99,90,69.0,7.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,1
"AKMU (악뮤) 어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",236034,129,25,52.0,91.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,1
볼빨간사춘기 Love story,256581,114,82,87.0,43.0,-0.5,0.87,1,0,0,0,0,0,0,1,0,1
베이식 (Basick) 만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),14126,154,79,55.0,5.0,-1.0,-0.0,1,0,0,1,0,0,0,0,0,1
"호미들 사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",43876,140,54,74.0,72.0,-0.5,0.87,1,0,0,1,0,0,0,0,0,1
주시크 (Joosiq) 아무래도 난,7870,100,56,73.0,35.0,-0.5,0.87,1,0,0,0,0,0,0,0,0,1
아이유 Blueming,725838,106,67,82.0,8.0,-0.5,-0.87,1,0,0,0,1,0,0,0,0,1
마크툽 (MAKTUB) 찰나가 영원이 될 때 (The Eternal Moment),39957,50,56,22.0,68.0,0.87,-0.5,1,0,0,0,0,0,0,0,0,1
STAYC(스테이씨) RUN2U,55363,130,68,72.0,0.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,1
멜로망스 고백,88639,120,55,46.0,60.0,0.5,-0.87,1,0,0,0,0,1,0,0,0,1
ITZY (있지) SNEAKERS,64562,120,85,94.0,2.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,1
브레이브걸스 롤린 (Rollin'),49271,125,86,69.0,3.0,0.87,0.5,1,0,1,0,0,0,0,0,0,1
헤이즈 (Heize) 헤픈 우연,164338,113,67,70.0,17.0,-0.5,-0.87,0,0,0,0,0,0,0,0,0,1
NewJeans Cookie,185288,157,64,85.0,6.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,1
임영웅 다시 만날 수 있을까,147432,130,39,40.0,75.0,0.87,0.5,1,0,0,0,0,1,0,0,0,1
소녀시대 (GIRLS' GENERATION) FOREVER 1,76942,124,87,62.0,4.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,1
아이유 겨울잠,725839,68,24,54.0,82.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,1
BLACKPINK Shut Down,225911,110,70,81.0,0.0,-0.5,-0.87,1,0,0,1,0,0,0,0,0,1
i-dle (아이들) Nxde,143106,136,91,73.0,4.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,1
오마이걸 (OH MY GIRL) Dun Dun Dance,119576,115,96,66.0,17.0,-0.5,0.87,0,0,1,0,0,0,0,0,0,1
10CM 서랍,184561,84,47,36.0,75.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,1
aespa 도깨비불 (Illusion),164256,90,72,75.0,8.0,0.0,-1.0,0,0,1,0,0,0,0,0,0,1
"자우림 스물다섯, 스물하나",39263,157,50,25.0,18.0,-0.5,-0.87,1,0,0,0,1,0,0,0,0,1
LE SSERAFIM (르세라핌) ANTIFRAGILE,71313,105,78,88.0,8.0,0.87,0.5,0,0,1,0,0,0,0,0,0,1
케이시 (Kassy) 늦은 밤 헤어지긴 너무 아쉬워,55481,97,63,81.0,24.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,1
AKMU (악뮤) 낙하 (with 아이유),236034,101,64,82.0,7.0,0.87,0.5,0,0,0,0,1,0,0,0,0,1
제시 (Jessi) ZOOM,26739,100,60,87.0,1.0,0.5,0.87,1,0,0,1,0,0,0,0,0,1
aespa Girls,164256,172,97,57.0,12.0,0.5,0.87,0,0,1,0,0,0,0,0,0,1
Crush Rush Hour (Feat. j-hope of BTS),193733,95,71,75.0,16.0,-0.5,-0.87,1,0,0,0,0,0,0,0,0,1
김승민 내 기쁨은 너가 벤틀리를 끄는 거야,35958,100,61,69.0,52.0,-0.87,0.5,0,0,0,1,0,0,0,0,0,1
"휘인 (Whee In) 너, 너 (N번째 연애 X 휘인 (Whee In))",40867,138,48,43.0,45.0,-0.87,0.5,0,0,0,0,0,1,0,0,0,1
방탄소년단 Yet To Come,622383,172,89,56.0,4.0,0.87,0.5,1,0,0,1,0,0,0,0,0,1
V Christmas Tree,161467,139,38,44.0,70.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,1
임영웅 무지개,147432,96,89,64.0,4.0,1.0,0.0,1,0,0,0,1,0,0,0,0,1
